hashtag,timestamp,text,lang
ЧМ2018,2018-05-27 10:05:20,"RT @fifaworldcup_ru: 👋✈🇨🇴

Радамель Фалькао и его сборная Колумбии отправляются на подготовку к #ЧМ2018 https://t.co/tvMG2YhMF5",ru
ЧМ2018,2018-05-27 10:05:07,"В.В.Путин:""В связи с выдвинутыми обвинениями по Боингу МН17,отравлению отца и дочери Скрипалей,по допингу росс спор… https://t.co/4LRS3AGOHI",ru
ЧМ2018,2018-05-27 09:58:06,"RT @InformNapalm: #Путин и Шойгу, #БУКваш. Бойкот #ЧМ2018
https://t.co/EZnqSDimNa https://t.co/Zo88TPHh8A",ru
ЧМ2018,2018-05-27 09:56:00,"RT @razum_milonova: Наш дом - тюрьма, а имя ей - Россия! В тюрьме проходит праздник у надзорщиков, поэтому зекам лучше не высовываться, а т…",ru
ЧМ2018,2018-05-27 09:55:59,RT @ANo1505: Тренировка сборной #ЧМ2018 https://t.co/g7rFdvoyuD,ru
ЧМ2018,2018-05-27 09:54:07,"RT @Fake_MIDRF: Россия встречает гостей Чемпионата мира по футболу: 

#FIFAWorldCup2018 #FIFA2018 #ЧМ2018 #MH17 https://t.co/e45uzYH54v",ru
ЧМ2018,2018-05-27 09:51:20,"RT @fifaworldcup_ru: 💓⏳🙌 Стадион ""Спартак"" замер в ожидании #ЧМ2018 https://t.co/1pHyQtd8J4",ru
ЧМ2018,2018-05-27 09:47:20,Новый символ ЧМ2018 https://t.co/dYMEmUSQb5 #россия #матрешка #свисток https://t.co/AmHvLUKTF9,ru
ЧМ2018,2018-05-27 09:47:19,Новый символ ЧМ2018 https://t.co/UoSySx5MON #россия #матрешка #свисток https://t.co/KWcrjClNgI,ru
ЧМ2018,2018-05-27 09:47:18,Новый символ ЧМ2018 https://t.co/LUMoVJYIp8 #россия #матрешка #свисток https://t.co/QeB3OsHXCi,ru
ЧМ2018,2018-05-27 09:45:59,"#киевскийрежим #ЧМ2018
Киев изворачивается в поисках провокаций, чтобы не дать возможности украинским болельщикам п… https://t.co/BdP2yKBycm",ru
